A0A0J9YXV3__d597bde492fb1c45	A0A0J9YXV3__d597bde492fb1c45	1.000	1.000	1.000
B3EWF7__c8d1f7a00eed9479	B3EWF7__c8d1f7a00eed9479	1.000	1.000	1.000
O14508__241ae67053df7934	O14508__241ae67053df7934	1.000	1.000	1.000
O15514__b93a8364e2c5dd30	O15514__b93a8364e2c5dd30	1.000	1.000	1.000
O60381__823f4c425d8a41fe	O60381__823f4c425d8a41fe	1.000	1.000	1.000
O75528__4cdc691f5f90430b	O75528__4cdc691f5f90430b	1.000	1.000	1.000
O95104__b4a4c7cbf2849d75	O95104__b4a4c7cbf2849d75	1.000	1.000	1.000
P00746__89b6935d8d5a9980	P00746__89b6935d8d5a9980	1.000	1.000	1.000
P00746__89b6935d8d5a9980	P08217__5543f0f8a802244a	0.338	0.960	0.959
P00746__89b6935d8d5a9980	P49862__5b53998b1d5bcc3f	0.314	0.901	0.874
P03971__9fa684b46d688b88	P03971__9fa684b46d688b88	1.000	1.000	1.000
P08514__e85172b63418bae3	P08514__e85172b63418bae3	1.000	1.000	1.000
P0DP91__32b5eef86f6e9135	P0DP91__32b5eef86f6e9135	1.000	1.000	1.000
P13647__d36394100dfde016	P13647__d36394100dfde016	1.000	1.000	1.000
P13647__d36394100dfde016	P35908__498340be977df962	0.619	0.949	0.881
P18089__f7c20e2753a4a7f6	P18089__f7c20e2753a4a7f6	1.000	1.000	1.000
P18089__f7c20e2753a4a7f6	P08913__0153dbebb226a1e5	0.529	0.973	0.897
P18089__f7c20e2753a4a7f6	P21917__9a2657fa53c20731	0.340	0.960	0.914
P18089__f7c20e2753a4a7f6	P35462__0c28b2bbcd26288e	0.323	0.933	0.900
P22004__a2a0367dc57ea9e6	P22004__a2a0367dc57ea9e6	1.000	1.000	1.000
P28069__9be83bf755658249	P28069__9be83bf755658249	1.000	1.000	1.000
P30876__c48f3d647590c9c6	P30876__c48f3d647590c9c6	1.000	1.000	1.000
P35398__c904032d7c1bef63	P35398__c904032d7c1bef63	1.000	1.000	1.000
P35398__c904032d7c1bef63	P51449__262c7bcde1c36598	0.498	0.885	0.965
P41594__d490de2ba2e67deb	P41594__d490de2ba2e67deb	1.000	1.000	1.000
P47914__b2b85d74d504b25e	P47914__b2b85d74d504b25e	1.000	1.000	1.000
P50914__2f26259a08c5abee	P50914__2f26259a08c5abee	1.000	1.000	1.000
P54920__5aa777c73f3504c6	P54920__5aa777c73f3504c6	1.000	1.000	1.000
P61964__90075634f6e58f79	P61964__90075634f6e58f79	1.000	1.000	1.000
P61964__90075634f6e58f79	Q86VZ2__55879b07085b8876	0.852	0.997	0.997
P61964__90075634f6e58f79	Q96DI7__0a8e64eb27c51a97	0.343	0.859	0.812
P80108__dec71ab33eb3c59f	P80108__dec71ab33eb3c59f	1.000	1.000	1.000
Q01726__c48e7174ffe180f6	Q01726__c48e7174ffe180f6	1.000	1.000	1.000
Q01726__c48e7174ffe180f6	Q01718__50fc802bf9cb11dd	0.407	0.890	0.923
Q10571__ed9070dfffbddc30	Q10571__ed9070dfffbddc30	1.000	1.000	1.000
Q13324__bc83813559fe7be3	Q13324__bc83813559fe7be3	1.000	1.000	1.000
Q13324__bc83813559fe7be3	P34998__d606ec68b032c7d9	0.745	0.905	0.896
Q13324__bc83813559fe7be3	P43220__8cd3cf61857825c3	0.301	0.871	0.823
Q14197__aac4ef3550b6534e	Q14197__aac4ef3550b6534e	1.000	1.000	1.000
Q15072__3c9d10a4042acace	Q15072__3c9d10a4042acace	1.000	1.000	1.000
Q16540__d1f4570deb1782c5	Q16540__d1f4570deb1782c5	1.000	1.000	1.000
Q2TAK8__cae3f40bf1fdd386	Q2TAK8__cae3f40bf1fdd386	1.000	1.000	1.000
Q53TQ3__c40027ea332393a0	Q53TQ3__c40027ea332393a0	1.000	1.000	1.000
Q5T4W7__3eb322d0bc238b69	Q5T4W7__3eb322d0bc238b69	1.000	1.000	1.000
Q67FW5__52f8d0d6179e55f8	Q67FW5__52f8d0d6179e55f8	1.000	1.000	1.000
Q6P2C8__2c4454362bb75ad9	Q6P2C8__2c4454362bb75ad9	1.000	1.000	1.000
Q6UWV6__2bea97621a03eab7	Q6UWV6__2bea97621a03eab7	1.000	1.000	1.000
Q6UWV6__2bea97621a03eab7	Q6UWR7__cefbb77774f62820	0.312	0.904	0.959
Q70Z53__d63f7b85d457e344	Q70Z53__d63f7b85d457e344	1.000	1.000	1.000
Q7Z5A8__7f17a1d096f03c2d	Q7Z5A8__7f17a1d096f03c2d	1.000	1.000	1.000
Q7Z5A8__7f17a1d096f03c2d	Q7Z5A7__79972210f3b53fed	0.436	0.820	0.826
Q86VZ6__48ef0260d9cca576	Q86VZ6__48ef0260d9cca576	1.000	1.000	1.000
Q8IWT1__d7ce1dae80ed5591	Q8IWT1__d7ce1dae80ed5591	1.000	1.000	1.000
Q8N1F8__581f95c5e885f736	Q8N1F8__581f95c5e885f736	1.000	1.000	1.000
Q8N895__10aca9a2d5ea0395	Q8N895__10aca9a2d5ea0395	1.000	1.000	1.000
Q8NFD5__19e226010e8e9732	Q8NFD5__19e226010e8e9732	1.000	1.000	1.000
Q8NFD5__19e226010e8e9732	O14497__1bd87af767bfd8e1	0.527	0.870	0.947
Q8TDR4__6eb6155b22bada6a	Q8TDR4__6eb6155b22bada6a	1.000	1.000	1.000
Q8WWQ0__c341a586dd02618a	Q8WWQ0__c341a586dd02618a	1.000	1.000	1.000
Q92989__13359972a03c49d0	Q92989__13359972a03c49d0	1.000	1.000	1.000
Q96C10__c9e670cb8f8b21cc	Q96C10__c9e670cb8f8b21cc	1.000	1.000	1.000
Q96HY7__7b4d6f55b9377116	Q96HY7__7b4d6f55b9377116	1.000	1.000	1.000
Q96LA9__b3086793d63b07c4	Q96LA9__b3086793d63b07c4	1.000	1.000	1.000
Q96LA9__b3086793d63b07c4	Q8TDS7__40913e0ac413cfda	0.427	0.947	0.966
Q96LA9__b3086793d63b07c4	Q86SM8__570aefc87f2c673f	0.381	0.888	0.904
Q96LA9__b3086793d63b07c4	P04201__f104c7b186d2a003	0.388	0.811	0.812
Q96RP3__ecf327b776d9d149	Q96RP3__ecf327b776d9d149	1.000	1.000	1.000
Q99958__92d956e2a58c2911	Q99958__92d956e2a58c2911	1.000	1.000	1.000
Q99958__92d956e2a58c2911	Q12948__61c1fa2212fc2637	0.488	1.000	1.000
Q9BSH3__7c82846ba8c24845	Q9BSH3__7c82846ba8c24845	1.000	1.000	1.000
Q9BWT3__4f5c6a85b6623c7d	Q9BWT3__4f5c6a85b6623c7d	1.000	1.000	1.000
Q9BYP7__82466a06c4e3e255	Q9BYP7__82466a06c4e3e255	1.000	1.000	1.000
Q9H0E3__1b546d10381c8972	Q9H0E3__1b546d10381c8972	1.000	1.000	1.000
Q9H425__d7ef281fa57d44ac	Q9H425__d7ef281fa57d44ac	1.000	1.000	1.000
Q9H999__d211f724098edc87	Q9H999__d211f724098edc87	1.000	1.000	1.000
Q9HCE6__37f43577c2a13928	Q9HCE6__37f43577c2a13928	1.000	1.000	1.000
Q9NQR4__693ea6e2e77a9130	Q9NQR4__693ea6e2e77a9130	1.000	1.000	1.000
Q9NVE5__e11e06c9d2a77680	Q9NVE5__e11e06c9d2a77680	1.000	1.000	1.000
Q9NYY1__aa228f7dc1964b14	Q9NYY1__aa228f7dc1964b14	1.000	1.000	1.000
Q9P2W1__3f1011cf51dd860a	Q9P2W1__3f1011cf51dd860a	1.000	1.000	1.000
Q9UHH9__843acbe94d180235	Q9UHH9__843acbe94d180235	1.000	1.000	1.000
Q9UHH9__843acbe94d180235	Q96PC2__1e701f49d8ee0a98	0.456	0.955	0.961
Q9UKI8__8337c49698178115	Q9UKI8__8337c49698178115	1.000	1.000	1.000
Q9UNK4__6f6cf4d5dac82d09	Q9UNK4__6f6cf4d5dac82d09	1.000	1.000	1.000
Q9Y2T6__6b08229612dbd4b3	Q9Y2T6__6b08229612dbd4b3	1.000	1.000	1.000
Q9Y2T6__6b08229612dbd4b3	P43657__4ae30283a4f540c0	0.305	0.922	0.866
Q9Y535__2238aede09bf48a6	Q9Y535__2238aede09bf48a6	1.000	1.000	1.000
A0A455ZAR2__43fa6fb09e945e8c	A0A455ZAR2__43fa6fb09e945e8c	1.000	1.000	1.000
B4DJY2__913b0e2aa0911f1e	B4DJY2__913b0e2aa0911f1e	1.000	1.000	1.000
O14561__43aa1cdb7bb3efd8	O14561__43aa1cdb7bb3efd8	1.000	1.000	1.000
O15525__848926de4fea3f65	O15525__848926de4fea3f65	1.000	1.000	1.000
O60393__6a17e447bf507b58	O60393__6a17e447bf507b58	1.000	1.000	1.000
O75529__4c7a3256f20fdfd1	O75529__4c7a3256f20fdfd1	1.000	1.000	1.000
O95136__c3a6a518836c96f9	O95136__c3a6a518836c96f9	1.000	1.000	1.000
